n. noltei,z. marina,g. vermiculophylla,sedimento,arena,roca,algas verdes,algas pardas,algas rojas,microfitobentos,foto
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250729_123543_PONTEVEDRA.jpg
65.0,0.0,0.0,20.0,0.0,0.0,15.0,0.0,0.0,0.0,20250729_124154_PONTEVEDRA.jpg
65.0,0.0,0.0,20.0,0.0,0.0,15.0,0.0,0.0,0.0,20250729_124306_PONTEVEDRA.jpg
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250729_124358_PONTEVEDRA.jpg
20.0,0.0,0.0,75.0,0.0,0.0,5.0,0.0,0.0,0.0,20250729_124529_PONTEVEDRA.jpg
50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,20250729_124553_PONTEVEDRA.jpg
0.0,40.0,0.0,20.0,0.0,0.0,40.0,0.0,0.0,0.0,20250729_125953_PONTEVEDRA.jpg
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250729_130020_PONTEVEDRA.jpg
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250729_130319_PONTEVEDRA.jpg
50.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,20250729_130528_PONTEVEDRA.jpg
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250729_132908_PONTEVEDRA.jpg
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250729_132944_PONTEVEDRA.jpg
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250729_133027_PONTEVEDRA.jpg
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250729_133108_PONTEVEDRA.jpg
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250729_133143_PONTEVEDRA.jpg
25.0,25.0,0.0,25.0,20.0,0.0,0.0,0.0,0.0,5.0,20250729_133810_PONTEVEDRA.jpg
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250729_134329_PONTEVEDRA.jpg
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250729_134606_PONTEVEDRA.jpg
75.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,20250729_134739_PONTEVEDRA.jpg
5.0,0.0,0.0,75.0,20.0,0.0,0.0,0.0,0.0,0.0,20250729_134943_PONTEVEDRA.jpg
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250729_140418_PONTEVEDRA.jpg
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250729_140518_PONTEVEDRA.jpg
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250729_140557_PONTEVEDRA.jpg
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250729_140623_PONTEVEDRA.jpg
90.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,20250729_140941_PONTEVEDRA.jpg
95.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,20250729_141641_PONTEVEDRA.jpg
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250729_141743_PONTEVEDRA.jpg
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250729_141856_PONTEVEDRA.jpg
85.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,20250729_142201_PONTEVEDRA.jpg
95.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,20250729_142244_PONTEVEDRA.jpg
88.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,20250812_120756_AROUSA.jpg
0.0,50.0,10.0,10.0,0.0,0.0,20.0,10.0,0.0,0.0,20250812_121051_AROUSA.jpg
75.0,10.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,20250812_123215_AROUSA.jpg
50.0,0.0,0.0,10.0,0.0,0.0,40.0,0.0,0.0,0.0,20250812_133414_AROUSA.jpg
92.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,20250812_133856_AROUSA.jpg
0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,20250923_111452_PONTEVEDRA.jpg
0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,20250923_111720_PONTEVEDRA.jpg
80.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20250923_111943_PONTEVEDRA.jpg
40.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,5.0,20250923_112124_PONTEVEDRA.jpg
15.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,2.0,20250923_112300_PONTEVEDRA.jpg
50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,20250923_112403_PONTEVEDRA.jpg
80.0,0.0,0.0,15.0,0.0,0.0,5.0,0.0,0.0,0.0,20250923_112702_PONTEVEDRA.jpg
20.0,0.0,0.0,70.0,0.0,0.0,8.0,0.0,0.0,2.0,20250923_112932_PONTEVEDRA.jpg
75.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,20250923_113015_PONTEVEDRA.jpg
10.0,0.0,0.0,60.0,0.0,0.0,25.0,5.0,0.0,0.0,20250923_113106_PONTEVEDRA.jpg
0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,2.0,20250923_113155_PONTEVEDRA.jpg
0.0,0.0,0.0,35.0,30.0,0.0,25.0,10.0,0.0,0.0,20250923_113345_PONTEVEDRA.jpg
90.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,20250923_113424_PONTEVEDRA.jpg
95.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,20250923_113512_PONTEVEDRA.jpg
10.0,0.0,0.0,25.0,0.0,0.0,55.0,10.0,0.0,0.0,20250923_113726_PONTEVEDRA.jpg
0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,20250923_113748_PONTEVEDRA.jpg
89.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,20250923_113940_PONTEVEDRA.jpg
0.0,0.0,0.0,20.0,0.0,0.0,70.0,10.0,0.0,0.0,20250923_114006_PONTEVEDRA.jpg
90.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,20250923_114212_PONTEVEDRA.jpg
75.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,20250923_114220_PONTEVEDRA.jpg
0.0,0.0,0.0,90.0,0.0,0.0,5.0,0.0,0.0,5.0,20250923_114339_PONTEVEDRA.jpg
0.0,0.0,0.0,60.0,10.0,0.0,25.0,0.0,0.0,5.0,20250923_114517_PONTEVEDRA.jpg
0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,10.0,20250923_114554_PONTEVEDRA.jpg
80.0,0.0,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,20250923_114718_PONTEVEDRA.jpg
60.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,20250923_114815_PONTEVEDRA.jpg
95.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,20250923_114913_PONTEVEDRA.jpg
30.0,0.0,0.0,45.0,0.0,0.0,25.0,0.0,0.0,0.0,20250923_115041_PONTEVEDRA.jpg
70.0,0.0,0.0,20.0,0.0,0.0,10.0,0.0,0.0,0.0,20250923_115213_PONTEVEDRA.jpg
70.0,0.0,0.0,10.0,0.0,0.0,20.0,0.0,0.0,0.0,20250923_115421_PONTEVEDRA.jpg
95.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,20250923_115524_PONTEVEDRA.jpg
95.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,20250923_115804_PONTEVEDRA.jpg
0.0,0.0,0.0,25.0,0.0,0.0,75.0,0.0,0.0,0.0,20250923_115900_PONTEVEDRA.jpg
70.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,20250923_120014_PONTEVEDRA.jpg
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250923_120202_PONTEVEDRA.jpg
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250923_120257_PONTEVEDRA.jpg
0.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,1.0,20250923_120720_PONTEVEDRA.jpg
40.0,0.0,0.0,55.0,0.0,0.0,5.0,0.0,0.0,0.0,20250923_120737_PONTEVEDRA.jpg
95.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,20250923_120906_PONTEVEDRA.jpg
50.0,0.0,0.0,30.0,20.0,0.0,0.0,0.0,0.0,0.0,20250923_121055_PONTEVEDRA.jpg
85.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,20250923_121139_PONTEVEDRA.jpg
20.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,20250923_121209_PONTEVEDRA.jpg
0.0,0.0,0.0,20.0,0.0,0.0,10.0,70.0,0.0,0.0,20250923_121319_PONTEVEDRA.jpg
0.0,0.0,0.0,0.0,0.0,40.0,10.0,50.0,0.0,0.0,20250923_121353_PONTEVEDRA.jpg
95.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,20250923_121626_PONTEVEDRA.jpg
90.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,20250923_121700_PONTEVEDRA.jpg
95.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,20250923_121819_PONTEVEDRA.jpg
95.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,20250923_121905_PONTEVEDRA.jpg
60.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,20250923_121957_PONTEVEDRA.jpg
80.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20250923_122131_PONTEVEDRA.jpg
60.0,0.0,0.0,30.0,0.0,0.0,5.0,5.0,0.0,0.0,20250923_122405_PONTEVEDRA.jpg
95.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,20250923_122508_PONTEVEDRA.jpg
80.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20250923_122639_PONTEVEDRA.jpg
20.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,20250923_122721_PONTEVEDRA.jpg
90.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,20250923_122905_PONTEVEDRA.jpg
95.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,20250923_123143_PONTEVEDRA.jpg
20.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,20250923_123302_PONTEVEDRA.jpg
0.0,0.0,0.0,15.0,0.0,15.0,10.0,60.0,0.0,0.0,20250923_123527_PONTEVEDRA.jpg
90.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,20250923_132406_PONTEVEDRA.jpg
100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20250923_132629_PONTEVEDRA.jpg
15.0,0.0,0.0,70.0,0.0,0.0,15.0,0.0,0.0,0.0,20250923_133134_PONTEVEDRA.jpg
0.0,0.0,0.0,10.0,0.0,0.0,10.0,80.0,0.0,0.0,20250923_133302_PONTEVEDRA.jpg
50.0,0.0,0.0,35.0,0.0,0.0,15.0,0.0,0.0,0.0,20250923_133612_PONTEVEDRA.jpg
0.0,0.0,0.0,5.0,0.0,55.0,10.0,25.0,0.0,5.0,20250923_133857_PONTEVEDRA.jpg
0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,20250925_135658_VILLAVICIOSA.jpg
10.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,20250925_140712_VILLAVICIOSA.jpg
20.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,20250925_141341_VILLAVICIOSA.jpg
0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,20250925_141456_VILLAVICIOSA.jpg
40.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,20250925_141635_VILLAVICIOSA.jpg
0.0,40.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,0.0,20251009_133653_PONTEVEDRA.jpg
0.0,40.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,0.0,20251009_134430_PONTEVEDRA.jpg
80.0,0.0,0.0,17.0,0.0,0.0,3.0,0.0,0.0,0.0,20251009_140531_PONTEVEDRA.jpg
80.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20251009_141043_PONTEVEDRA.jpg
95.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,20251009_141507_PONTEVEDRA.jpg
95.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,20251009_141718_PONTEVEDRA.jpg
95.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,20251009_142341_PONTEVEDRA.jpg
85.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,20251009_142627_PONTEVEDRA.jpg
50.0,0.0,0.0,40.0,0.0,0.0,10.0,0.0,0.0,0.0,20251009_142819_PONTEVEDRA.jpg
50.0,0.0,0.0,20.0,0.0,0.0,30.0,0.0,0.0,0.0,20251009_143247_PONTEVEDRA.jpg
0.0,0.0,0.0,20.0,0.0,0.0,65.0,15.0,0.0,0.0,20251009_143955_PONTEVEDRA.jpg
0.0,20.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,20260203_102541_PONTEVEDRA.jpg
0.0,50.0,0.0,10.0,40.0,0.0,0.0,0.0,0.0,0.0,20260203_104636_PONTEVEDRA.jpg
30.0,20.0,0.0,10.0,40.0,0.0,0.0,0.0,0.0,0.0,20260203_113340_PONTEVEDRA.jpg
10.0,10.0,0.0,0.0,70.0,0.0,0.0,0.0,10.0,0.0,20260203_113425_PONTEVEDRA.jpg
0.0,15.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,5.0,20260220_113119_PONTEVEDRA.jpg
0.0,15.0,0.0,40.0,40.0,0.0,0.0,0.0,0.0,5.0,20260220_113637_PONTEVEDRA.jpg
0.0,10.0,0.0,15.0,70.0,0.0,0.0,0.0,0.0,5.0,20260220_114337_PONTEVEDRA.jpg
10.0,5.0,0.0,70.0,10.0,0.0,0.0,0.0,0.0,5.0,20260220_115139_PONTEVEDRA.jpg
0.0,50.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,10.0,20260220_115400_PONTEVEDRA.jpg
10.0,10.0,0.0,60.0,15.0,0.0,0.0,0.0,0.0,5.0,20260220_121402_PONTEVEDRA.jpg
0.0,25.0,0.0,60.0,10.0,0.0,0.0,0.0,0.0,5.0,20260220_121832_PONTEVEDRA.jpg
0.0,30.0,0.0,60.0,5.0,0.0,0.0,0.0,0.0,5.0,20260220_122955_PONTEVEDRA.jpg
10.0,0.0,0.0,50.0,40.0,0.0,0.0,0.0,0.0,0.0,20260303_102628_PONTEVEDRA.jpg
0.0,20.0,0.0,20.0,60.0,0.0,0.0,0.0,0.0,0.0,20260303_104703_PONTEVEDRA.jpg
60.0,0.0,0.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,20260303_105421_PONTEVEDRA.jpg
